my.zju.edu.cn                 	10.203.3.215
app.zju.edu.cn                	10.15.101.146
pay.zju.edu.cn                	10.202.9.21
webmail.zju.edu.cn            	10.15.121.2
st.zju.edu.cn                 	10.202.47.115
doc.zju.edu.cn                	10.71.121.154
cms.zju.edu.cn                	10.13.181.12
net.zju.edu.cn                	10.50.200.245
c.zju.edu.cn                  	10.201.103.2
vm2.zju.edu.cn                	10.202.18.81
photo.zju.edu.cn              	10.71.105.218
webjsp2.zju.edu.cn            	10.202.18.81
ir.zju.edu.cn                 	10.203.3.97
lc.zju.edu.cn                 	10.23.121.246
xueshu.zju.edu.cn             	10.203.3.97
update.zju.edu.cn             	10.203.1.49
chi.zju.edu.cn                	10.203.3.13
pc1.zju.edu.cn                	210.32.128.201
email.zju.edu.cn              	10.10.2.85
project.zju.edu.cn            	10.202.18.66
mis.zju.edu.cn                	210.32.144.199
snort.zju.edu.cn              	10.10.5.78
xx.zju.edu.cn                 	10.203.3.13
asic.zju.edu.cn               	210.32.141.49
atm.zju.edu.cn                	210.32.122.1
bis.zju.edu.cn                	10.71.115.70
che.zju.edu.cn                	10.202.18.86
ckc.zju.edu.cn                	10.202.69.91
cl.zju.edu.cn                 	10.202.102.20
cmos.zju.edu.cn               	10.202.18.81
mail.zju.edu.cn               	10.202.102.20
ctf.zju.edu.cn                	10.14.39.238
dx.zju.edu.cn                 	10.203.2.81
edx.zju.edu.cn                	10.203.3.75
equip.zju.edu.cn              	10.202.36.141
etc.zju.edu.cn                	10.202.18.84
webasp2.zju.edu.cn            	10.202.18.84
genetics.zju.edu.cn           	10.202.18.84
hbar.zju.edu.cn               	10.14.129.57
hy.zju.edu.cn                 	10.202.66.91
ils.zju.edu.cn                	10.10.66.12
webjsp.zju.edu.cn             	10.10.66.12
libtest.zju.edu.cn            	210.32.137.3
mailhost.zju.edu.cn           	10.202.102.20
marx.zju.edu.cn               	10.10.66.12
ldns.zju.edu.cn               	10.202.102.20
membrane.zju.edu.cn           	10.75.76.244
mic.zju.edu.cn                	10.71.121.153
mse.zju.edu.cn                	10.202.70.41
nit.zju.edu.cn                	10.80.96.25
oa.zju.edu.cn                 	10.203.2.132
ol.zju.edu.cn                 	10.203.2.15
opt.zju.edu.cn                	10.202.70.11
oss.zju.edu.cn                	10.10.2.194
pas.zju.edu.cn                	10.202.36.142
physics.zju.edu.cn            	10.14.122.238
polymer.zju.edu.cn            	10.202.69.31
sava.zju.edu.cn               	10.10.6.188
smtp.zju.edu.cn               	10.202.102.20
sss.zju.edu.cn                	10.202.68.26
word.zju.edu.cn               	10.203.3.78
xy.zju.edu.cn                 	10.49.108.153
yq.zju.edu.cn                 	10.203.3.13
dxp.zju.edu.cn                	10.10.66.10
ene.zju.edu.cn                	10.75.68.237
fah.zju.edu.cn                	10.10.66.12
www.dxp.zju.edu.cn            	10.10.66.10
ibe.zju.edu.cn                	10.203.2.66
webphp.zju.edu.cn             	10.10.66.10
jwb.zju.edu.cn                	10.202.110.3
mba.zju.edu.cn                	10.71.92.218
ugrs.zju.edu.cn               	10.202.110.3
bksy.zju.edu.cn               	10.202.110.3
ypa.zju.edu.cn                	10.202.18.81
www.cms.zju.edu.cn            	10.13.181.251
preview.edx.zju.edu.cn        	10.203.3.75
www.ir.zju.edu.cn             	10.203.13.14
