www.zju.edu.cn                	10.203.6.101
i.zju.edu.cn                  	10.203.3.215
media.zju.edu.cn              	10.202.18.101
s.zju.edu.cn                  	10.22.23.58
active.zju.edu.cn             	10.203.3.97
einstein.zju.edu.cn           	210.32.142.203
car.zju.edu.cn                	10.15.150.213
talent.zju.edu.cn             	10.202.71.71
rd.zju.edu.cn                 	10.203.2.236
mass.zju.edu.cn               	10.10.2.83
linux.zju.edu.cn              	10.14.11.127
arc.zju.edu.cn                	10.214.0.186
xueshu.zju.edu.cn             	10.203.3.97
star.zju.edu.cn               	210.32.133.88
hr.zju.edu.cn                 	10.202.71.71
team.zju.edu.cn               	10.203.3.12
mt.zju.edu.cn                 	10.203.7.49
so.zju.edu.cn                 	10.203.3.54
art.zju.edu.cn                	10.203.3.13
xx.zju.edu.cn                 	10.203.3.13
abc.zju.edu.cn                	10.14.83.9
pse.zju.edu.cn                	10.13.24.97
gopher.zju.edu.cn             	210.32.128.201
www1.zju.edu.cn               	210.32.128.44
mysql.zju.edu.cn              	10.10.2.13
ch.zju.edu.cn                 	10.202.102.20
vm.zju.edu.cn                 	10.214.144.225
calendar.zju.edu.cn           	10.202.34.162
freebsd.zju.edu.cn            	10.15.111.3
pc1.zju.edu.cn                	210.32.128.201
sun3000.zju.edu.cn            	210.32.128.44
mail.zju.edu.cn               	10.202.102.20
acm.zju.edu.cn                	10.10.2.252
rwsw.zju.edu.cn               	10.202.34.162
agri.zju.edu.cn               	10.75.68.88
ait.zju.edu.cn                	10.203.2.189
bmc.zju.edu.cn                	10.10.66.16
webasp.zju.edu.cn             	10.10.66.16
ccs.zju.edu.cn                	10.203.3.215
cdserver.zju.edu.cn           	210.32.137.5
ced.zju.edu.cn                	10.202.102.20
cee.zju.edu.cn                	10.202.102.20
my.zju.edu.cn                 	10.203.3.215
cres.zju.edu.cn               	10.21.41.84
dorm.zju.edu.cn               	10.203.7.67
freshman.zju.edu.cn           	10.202.110.46
geo.zju.edu.cn                	210.32.145.69
grs.zju.edu.cn                	10.202.73.10
itm.zju.edu.cn                	10.202.18.81
iv.zju.edu.cn                 	10.202.17.176
webjsp2.zju.edu.cn            	10.202.18.81
lipid.zju.edu.cn              	10.43.31.240
mini.zju.edu.cn               	10.203.3.49
pathology.zju.edu.cn          	10.203.2.150
pel.zju.edu.cn                	10.202.18.84
pm.zju.edu.cn                 	210.32.5.44
webasp2.zju.edu.cn            	10.202.18.84
rbs.zju.edu.cn                	10.203.7.50
ren.zju.edu.cn                	10.202.18.81
robot.zju.edu.cn              	10.214.0.112
rt.zju.edu.cn                 	10.49.44.179
sjb.zju.edu.cn                	10.202.18.86
soft.zju.edu.cn               	10.203.8.67
spu.zju.edu.cn                	10.202.82.40
webwescms.zju.edu.cn          	10.202.18.86
sse.zju.edu.cn                	10.14.111.178
ms.zju.edu.cn                 	10.203.8.67
trn.zju.edu.cn                	10.10.0.61
x.zju.edu.cn                  	10.202.18.216
www4.zju.edu.cn               	10.10.2.31
vod.zju.edu.cn                	10.10.3.21
360.zju.edu.cn                	10.203.2.92
yw.zju.edu.cn                 	10.203.1.40
p3.zju.edu.cn                 	210.32.1.2
120.zju.edu.cn                	10.203.13.14
bmb.zju.edu.cn                	10.10.66.12
webjsp.zju.edu.cn             	10.10.66.12
gzb.zju.edu.cn                	10.10.66.12
