info.zju.edu.cn               	10.10.6.21
ac.zju.edu.cn                 	10.203.13.14
bbs.zju.edu.cn                	10.10.68.151
v.zju.edu.cn                  	10.202.17.176
fa.zju.edu.cn                 	10.202.47.115
sc.zju.edu.cn                 	10.73.15.11
wap.zju.edu.cn                	10.202.102.20
intl.zju.edu.cn               	10.105.1.122, 10.105.1.123
wz.zju.edu.cn                 	10.15.150.23
sbb.zju.edu.cn                	10.78.19.88
edp.zju.edu.cn                	10.203.2.231
its.zju.edu.cn                	10.203.13.14
sg.zju.edu.cn                 	10.10.68.151
zusc.zju.edu.cn               	10.73.15.11
mail.zju.edu.cn               	10.202.102.20
pps.zju.edu.cn                	210.32.133.11
ee.zju.edu.cn                 	10.202.71.81
networking.zju.edu.cn         	10.203.13.14
ftp.zju.edu.cn                	10.10.2.35
newton.zju.edu.cn             	210.32.142.202
cims.zju.edu.cn               	10.214.0.139
vpn.zju.edu.cn                	10.10.2.226
pki.zju.edu.cn                	210.32.179.246
eagle.zju.edu.cn              	10.214.0.112
antivirus.zju.edu.cn          	10.10.7.222
nms.zju.edu.cn                	210.32.1.13
fm.zju.edu.cn                 	10.214.0.99
work.zju.edu.cn               	10.10.66.16
ad.zju.edu.cn                 	10.203.6.100
robot.zju.edu.cn              	10.214.0.112
webasp.zju.edu.cn             	10.10.66.16
ant.zju.edu.cn                	10.22.23.40
cad.zju.edu.cn                	210.32.131.2
ccm.zju.edu.cn                	10.202.18.81
cec.zju.edu.cn                	10.202.102.20
webjsp2.zju.edu.cn            	10.202.18.81
cma.zju.edu.cn                	10.202.102.20
cme.zju.edu.cn                	210.32.139.233
css.zju.edu.cn                	10.202.102.20
doa.zju.edu.cn                	10.202.34.10
hpe.zju.edu.cn                	10.202.18.84
idea.zju.edu.cn               	10.10.66.12
webasp2.zju.edu.cn            	10.202.18.84
webjsp.zju.edu.cn             	10.10.66.12
jjb.zju.edu.cn                	10.202.18.121
jin.zju.edu.cn                	210.32.133.201
lib.zju.edu.cn                	210.32.137.2
lns.zju.edu.cn                	10.0.2.73
mms.zju.edu.cn                	10.202.18.42
nce.zju.edu.cn                	10.15.13.203
novell.zju.edu.cn             	210.32.128.3
omd.zju.edu.cn                	10.10.66.12
pace.zju.edu.cn               	10.202.18.81
pad.zju.edu.cn                	61.164.42.181
person.zju.edu.cn             	10.203.3.85
plant.zju.edu.cn              	10.15.150.212
sel.zju.edu.cn                	10.202.18.81
ses.zju.edu.cn                	10.14.91.217
sfp.zju.edu.cn                	10.202.102.20
silab.zju.edu.cn              	10.203.13.14
sjd.zju.edu.cn                	10.203.7.34
ssec.zju.edu.cn               	10.203.2.124
view.zju.edu.cn               	10.202.17.26
xx.zju.edu.cn                 	10.203.3.13
ipv6.zju.edu.cn               	10.10.2.91
xcb.zju.edu.cn                	10.203.13.14
xw.zju.edu.cn                 	10.10.66.12
cxm.zju.edu.cn                	10.203.2.20
eer.zju.edu.cn                	10.203.2.199
fdy.zju.edu.cn                	10.203.7.47
gxk.zju.edu.cn                	10.202.81.11
igh.zju.edu.cn                	10.202.18.81
mpa.zju.edu.cn                	10.10.66.10
webphp.zju.edu.cn             	10.10.66.10
rrd.zju.edu.cn                	10.10.2.201
scu.zju.edu.cn                	10.203.3.13
zjc.zju.edu.cn                	10.51.81.200
www.cad.zju.edu.cn            	210.32.131.211
